Rank,Title,URL
1,How renewables are saving Texans billions,https://www.theclimatebrink.com/p/how-renewables-are-saving-texans
2,Microsoft Releases Classic MS-DOS Editor for Linux Written in Rust,https://github.com/microsoft/edit
3,Fun with uv and PEP 723,https://www.cottongeeks.com/articles/2025-06-24-fun-with-uv-and-pep-723
4,Writing toy software is a joy,https://blog.jsbarretto.com/post/software-is-joy
5,Thick Nickels,https://thick-coins.net/?_bhlid=8a5736885893b7837e681aa73f890b9805a4673e
6,Build your first iOS app on Linux / Windows,https://xtool.sh/tutorials/xtool/first-app/
7,ChatGPT's enterprise success against Copilot fuels OpenAI/Microsoft rivalry,https://www.bloomberg.com/news/articles/2025-06-24/chatgpt-vs-copilot-inside-the-openai-and-microsoft-rivalry
8,Managing time when time doesn't exist,https://multiverseemployeehandbook.com/blog/temporal-resources-managing-time-when-time-doesnt-exist/
9,Mid-sized cities outperform major metros at turning economic growth into patents,https://www.governance.fyi/p/booms-not-busts-drives-innovation
10,PlasticList â€“ Plastic Levels in Foods,https://www.plasticlist.org/
